INTLCCC30999,20200817,2.9300,2.9300,2.9300,2.9300,250
INTLCDR30478,20200817,16.1600,16.1600,16.1600,16.1600,196
INTLCDR31377,20200817,11.3000,11.3000,11.3000,11.3000,69
INTLCDR33290,20200817,9.3400,9.3400,9.2500,9.2500,548
INTLCDR33985,20200817,6.7700,6.7800,6.4200,6.4200,820
INTLDAX31542,20200817,108.0000,108.0000,108.0000,108.0000,10
INTLDAX31872,20200817,92.0000,92.0000,92.0000,92.0000,11
INTLDAX32821,20200817,51.6000,51.6000,51.6000,51.6000,139
INTLDAX32839,20200817,61.6000,61.9000,61.6000,61.9000,100
INTLDAX32847,20200817,72.5000,72.5000,72.5000,72.5000,9
INTLDAX32946,20200817,42.0000,42.7000,38.9000,41.4500,3975
INTLDNP29876,20200817,11.2600,11.2600,11.2600,11.2600,100
INTLESX32953,20200817,11.5000,11.5000,11.5000,11.5000,15
INTLEUD24364,20200817,57.0000,57.0000,57.0000,57.0000,8
INTLEUD33555,20200817,37.0500,38.5000,37.0500,38.5000,89
INTLEUD33860,20200817,23.5500,23.5500,23.5500,23.5500,47
INTLEUR27599,20200817,14.5000,14.5000,13.5000,13.8000,190
INTLEUR28324,20200817,10.5600,10.7600,9.8000,10.7600,400
INTLGBP32250,20200817,21.7000,22.3000,21.7000,22.3000,75
INTLGBP32722,20200817,29.6000,29.6000,28.3000,28.3000,110
INTLGLD11726,20200817,297.0000,297.0000,297.0000,297.0000,10
INTLGLD23903,20200817,222.0000,231.5000,222.0000,231.5000,50
INTLGLD24166,20200817,199.6000,209.5000,199.2000,209.5000,57
INTLGLD30130,20200817,180.4000,180.4000,180.4000,180.4000,700
INTLGLD30148,20200817,337.0000,341.0000,337.0000,341.0000,23
INTLGLD31310,20200817,136.8000,145.8000,136.8000,145.8000,90
INTLGLD33092,20200817,111.0000,121.0000,110.2000,121.0000,615
INTLGLD33100,20200817,106.8000,108.0000,106.8000,108.0000,110
INTLGLD33456,20200817,61.3000,73.6000,59.1000,73.6000,6233
INTLGLD33464,20200817,74.9000,86.9000,72.8000,86.9000,2589
INTLGLD33472,20200817,87.3000,87.3000,87.3000,87.3000,6
INTLGLD33878,20200817,36.1000,48.9500,34.4500,46.7500,26683
INTLJSW29884,20200817,6.9600,6.9600,6.9600,6.9600,2000
INTLJSW32136,20200817,4.7200,4.7200,4.7200,4.7200,318
INTLJSW32151,20200817,6.3600,6.3600,6.3600,6.3600,236
INTLJSW32367,20200817,3.8500,3.8500,3.8500,3.8500,1500
INTLKGH32052,20200817,61.3000,61.3000,61.3000,61.3000,25
INTLKGH32995,20200817,49.6000,49.6000,49.6000,49.6000,10
INTLKGH33902,20200817,20.9500,22.0500,20.9500,22.0500,52
INTLKGH33910,20200817,26.4000,26.8000,26.4000,26.8000,80
INTLLTS27904,20200817,12.5600,12.5600,12.5400,12.5400,222
INTLLTS30544,20200817,9.1700,9.2000,8.8400,8.8400,1902
INTLNAG31732,20200817,4.4200,4.4200,4.4200,4.4200,1000
INTLNAG33753,20200817,2.4100,2.4100,2.4100,2.4100,1100
INTLNAG33779,20200817,5.0500,5.0500,5.0500,5.0500,192
INTLNOK02501,20200817,10.8200,10.8200,10.8200,10.8200,150
INTLOPL21626,20200817,4.0300,4.0300,4.0300,4.0300,300
INTLPAL25031,20200817,267.0000,271.0000,267.0000,271.0000,43
INTLPGE32581,20200817,1.2800,1.2800,1.2800,1.2800,760
INTLPGN32615,20200817,1.7200,1.7200,1.6900,1.6900,781
INTLPGN33027,20200817,1.3900,1.3900,1.3900,1.3900,300
INTLPKN04119,20200817,27.5000,27.9000,27.3500,27.9000,103
INTLPKN06353,20200817,18.6400,18.6400,18.6000,18.6000,300
INTLPKN30445,20200817,10.0600,10.0600,9.7500,9.7500,4629
INTLPKN30452,20200817,12.4000,12.4000,12.1400,12.1400,180
INTLPKO30387,20200817,5.5400,5.5400,5.3000,5.5400,1578
INTLPKO30403,20200817,7.1100,7.1100,7.1100,7.1100,200
INTLPKO30692,20200817,4.7300,4.7300,4.7300,4.7300,202
INTLPKO32763,20200817,3.6000,3.6600,3.6000,3.6600,2000
INTLPLA30270,20200817,11.8800,11.8800,11.8800,11.8800,5000
INTLPLA31138,20200817,9.8000,9.8000,9.8000,9.8000,300
INTLPLA31757,20200817,8.3400,8.3400,8.3000,8.3000,373
INTLPLA33084,20200817,7.4000,7.4000,7.4000,7.4000,5000
INTLPLA33431,20200817,5.1200,5.1500,5.1200,5.1500,1000
INTLPLA33449,20200817,6.2700,6.4400,6.2700,6.2900,7323
INTLPLA33787,20200817,2.8200,2.9300,2.8000,2.9300,7094
INTLPLA33795,20200817,4.2200,4.2200,4.2200,4.2200,1502
INTLPZU14712,20200817,8.4400,8.4400,8.4400,8.4400,150
INTLPZU15800,20200817,10.8000,10.8000,10.8000,10.8000,291
INTLPZU29348,20200817,5.9800,5.9800,5.9800,5.9800,2300
INTLPZU30346,20200817,3.8100,3.8100,3.5000,3.5000,3012
INTLSLV29322,20200817,68.0000,68.0000,68.0000,68.0000,1
INTLSLV30189,20200817,52.1000,52.4000,52.1000,52.4000,140
INTLSLV30197,20200817,53.9000,54.8000,53.9000,54.8000,140
INTLSLV30890,20200817,48.8000,50.6000,48.8000,50.6000,220
INTLSLV33043,20200817,37.7500,39.3000,37.7500,39.3000,349
INTLSLV33332,20200817,21.2000,23.4000,20.6500,23.2500,10881
INTLSLV33340,20200817,24.4000,26.3500,24.2000,26.3500,300
INTLSLV33357,20200817,27.0000,28.3000,27.0000,28.3000,6025
INTLSLV33365,20200817,29.2500,29.2500,29.2500,29.2500,73
INTLSLV33373,20200817,32.5500,33.9000,32.2500,33.9000,412
INTLSLV33662,20200817,11.3000,13.1800,10.2800,13.1000,3737
INTLSLV33670,20200817,14.5200,16.5000,14.5200,16.5000,7530
INTLSLV33688,20200817,17.7000,19.6800,17.7000,19.6800,7631
INTLSPX32284,20200817,28.2500,28.2500,28.2500,28.2500,43
INTLSPX32862,20200817,23.2000,23.4000,23.2000,23.4000,114
INTLUSD20602,20200817,20.4500,20.4500,20.4500,20.4500,24
INTLUSD20610,20200817,25.6000,25.9000,25.0500,25.4500,120
INTLUSD20826,20200817,30.5000,30.5000,30.4500,30.4500,71
INTLUSD20842,20200817,36.8000,36.8000,36.3000,36.3000,43
INTLUSD21170,20200817,14.9800,15.6800,14.8000,15.1000,1150
INTLUSD21287,20200817,9.5200,10.4400,8.6900,9.7200,26127
INTLVOW11171,20200817,31.3500,31.3500,31.3500,31.3500,30
INTLW2029892,20200817,4.5700,4.5700,4.5700,4.5700,500
INTLW2030585,20200817,4.3000,4.3000,4.3000,4.3000,250
INTLW2031864,20200817,3.0600,3.0600,3.0600,3.0600,400
